start_date(DD/MM/YYYY HH:MM:SS),distance(m),moving_time(HH:MM:SS),route
16/01/2019 03:05:59,7526.8,00:26:30,"[[12.91314, 77.64009], [12.91436, 77.63986], [12.9145, 77.63808], [12.92033, 77.63844], [12.923729999999999, 77.63983], [12.925159999999998, 77.63746], [12.927469999999998, 77.63762], [12.929299999999998, 77.6351], [12.929779999999997, 77.6334], [12.930919999999997, 77.63399], [12.931729999999996, 77.63329999999999], [12.934019999999997, 77.63413999999999], [12.935109999999996, 77.63301999999999], [12.936149999999996, 77.63350999999999], [12.936169999999995, 77.63462999999999], [12.937439999999995, 77.63321999999998], [12.938469999999995, 77.63276999999998], [12.938859999999995, 77.63488999999998], [12.939829999999995, 77.63615999999999], [12.947269999999996, 77.64070999999998], [12.948119999999996, 77.64061999999998], [12.949409999999995, 77.63931999999998], [12.950379999999996, 77.63910999999999], [12.954479999999995, 77.64121999999999], [12.960989999999995, 77.64169], [12.965779999999995, 77.64138]]"
16/01/2019 03:08:16,16848.9,01:05:47,"[[12.9708, 77.70569], [12.97104, 77.70563], [12.97066, 77.70709], [12.969280000000001, 77.70669], [12.967500000000001, 77.70396], [12.9669, 77.70343], [12.966130000000001, 77.70354999999999], [12.966550000000002, 77.70299999999999], [12.965790000000002, 77.70239], [12.956490000000002, 77.70121999999999], [12.947840000000003, 77.69937999999999], [12.943620000000003, 77.698], [12.939310000000003, 77.69555], [12.933650000000002, 77.68969], [12.929920000000003, 77.68506], [12.920660000000003, 77.66543999999999], [12.921590000000004, 77.66078999999999], [12.923480000000003, 77.65521999999999], [12.924160000000002, 77.65204999999999], [12.923870000000003, 77.65183999999999], [12.924350000000002, 77.65127], [12.924650000000002, 77.64952], [12.924450000000002, 77.64508], [12.923290000000001, 77.64139999999999], [12.925180000000001, 77.6369], [12.924130000000002, 77.62876], [12.928200000000002, 77.61918], [12.929510000000002, 77.61507], [12.931620000000002, 77.61367], [12.933170000000002, 77.61179], [12.935480000000002, 77.60854], [12.936350000000003, 77.60667000000001], [12.936800000000003, 77.60176000000001], [12.931920000000003, 77.60085000000001], [12.932050000000004, 77.60212000000001], [12.932320000000004, 77.60171000000001]]"
16/01/2019 03:11:13,2399.1,00:08:40,"[[12.83393, 77.66248], [12.83458, 77.66417], [12.836030000000001, 77.66412], [12.83563, 77.66305], [12.83912, 77.66284999999999], [12.83931, 77.66356999999999], [12.841009999999999, 77.66314], [12.843069999999999, 77.66196], [12.84343, 77.66038999999999], [12.84515, 77.66018999999999], [12.84559, 77.66165999999998], [12.84723, 77.66128999999998], [12.846169999999999, 77.66114999999998]]"
16/01/2019 03:12:08,7188.1,00:24:19,"[[12.97881, 77.71175], [12.97879, 77.71119999999999], [12.97832, 77.71105999999999], [12.97806, 77.71162999999999], [12.97819, 77.71045999999998], [12.97791, 77.70976999999998], [12.97309, 77.71157999999998], [12.9721, 77.71155999999998], [12.972819999999999, 77.70961999999997], [12.973989999999999, 77.70887999999998], [12.973539999999998, 77.70746999999997], [12.972259999999999, 77.70762999999997], [12.969739999999998, 77.70694999999996], [12.967449999999998, 77.70380999999996], [12.966099999999997, 77.70343999999996], [12.966539999999997, 77.70293999999996], [12.965929999999997, 77.70237999999996], [12.957339999999997, 77.70131999999997], [12.948109999999996, 77.69934999999997], [12.941839999999996, 77.69695999999996], [12.938919999999996, 77.69514999999996], [12.937459999999996, 77.69367999999996], [12.936759999999996, 77.69375999999995], [12.936479999999996, 77.69517999999995], [12.934849999999996, 77.69503999999995], [12.934339999999995, 77.69621999999995]]"
16/01/2019 03:13:56,10856.7,00:36:13,"[[12.98701, 77.55833], [12.98557, 77.55927], [12.98499, 77.559], [12.98491, 77.5595], [12.98448, 77.55919], [12.98334, 77.5595], [12.9837, 77.56014], [12.982790000000001, 77.56151], [12.982080000000002, 77.56626], [12.982920000000002, 77.56949], [12.981340000000001, 77.57024], [12.980390000000002, 77.57133], [12.980930000000003, 77.57463], [12.980890000000002, 77.57699], [12.980510000000002, 77.57647999999999], [12.980760000000002, 77.57715999999999], [12.980330000000002, 77.58085999999999], [12.975170000000002, 77.58858999999998], [12.975060000000003, 77.59037999999998], [12.975640000000002, 77.59022999999998], [12.976260000000002, 77.59079999999997], [12.974900000000002, 77.59328999999997], [12.966650000000001, 77.59506999999996], [12.965190000000002, 77.59590999999996], [12.965140000000002, 77.59691999999995], [12.964110000000002, 77.59693999999996], [12.962310000000002, 77.59897999999995], [12.961830000000003, 77.59900999999995], [12.958050000000002, 77.60602999999995], [12.951880000000003, 77.60521999999995], [12.950870000000002, 77.60543999999994], [12.942120000000003, 77.60822999999995], [12.935980000000002, 77.61161999999995], [12.936810000000003, 77.61153999999995], [12.936790000000004, 77.61241999999994]]"
16/01/2019 03:15:18,11177.4,00:37:59,"[[13.01232, 77.63972], [13.01265, 77.63964], [13.011600000000001, 77.63991], [13.01115, 77.63935000000001], [13.011230000000001, 77.63883000000001], [13.00988, 77.63861000000001], [13.007190000000001, 77.63892000000001], [13.006470000000002, 77.63944000000001], [13.003120000000003, 77.63537000000001], [13.002390000000002, 77.6341], [13.001430000000003, 77.63082], [13.000920000000002, 77.62691], [12.998080000000002, 77.62344], [12.997830000000002, 77.62157], [12.995520000000003, 77.61649], [12.989200000000002, 77.61324], [12.985240000000003, 77.61166], [12.984370000000002, 77.61184], [12.982980000000001, 77.61071], [12.974420000000002, 77.60768], [12.968510000000002, 77.60624], [12.966390000000002, 77.60684], [12.962560000000002, 77.60683], [12.951880000000001, 77.60528000000001], [12.94246, 77.60803000000001], [12.93706, 77.61089000000001], [12.936480000000001, 77.61009000000001]]"
16/01/2019 03:17:43,12180.7,00:46:46,"[[12.96982, 77.54151], [12.97644, 77.53435], [12.97618, 77.53425], [12.976379999999999, 77.53401], [12.976349999999998, 77.53435999999999], [12.975839999999998, 77.53390999999999], [12.975599999999998, 77.53465999999999], [12.975729999999999, 77.53841999999999], [12.97506, 77.54482999999999], [12.9774, 77.54580999999999], [12.97419, 77.54938999999999], [12.97378, 77.55037999999999], [12.97552, 77.55335], [12.97579, 77.5641], [12.97776, 77.56479], [12.98185, 77.56436000000001], [12.98198, 77.5665], [12.98289, 77.5689], [12.982719999999999, 77.5696], [12.980239999999998, 77.57115999999999], [12.980819999999998, 77.57466], [12.980239999999998, 77.5808], [12.975049999999998, 77.58878], [12.974949999999998, 77.59025], [12.975789999999998, 77.59036], [12.976139999999997, 77.59094], [12.975099999999998, 77.59258], [12.975069999999997, 77.59349999999999], [12.976779999999996, 77.59571], [12.976599999999996, 77.60191999999999], [12.975089999999996, 77.60712], [12.974289999999996, 77.61187], [12.973409999999996, 77.61501], [12.972869999999995, 77.61573]]"
16/01/2019 03:22:20,16455.8,00:46:57,"[[12.92725, 77.54721], [12.92449, 77.55174000000001], [12.92155, 77.56155000000001], [12.91829, 77.56430000000002], [12.913910000000001, 77.56596000000002], [12.907630000000001, 77.57108000000002], [12.906770000000002, 77.57197000000002], [12.906560000000002, 77.57307000000002], [12.906170000000003, 77.59642000000001], [12.907290000000003, 77.60039], [12.905970000000003, 77.60181], [12.905640000000004, 77.60593], [12.905880000000003, 77.60851], [12.905360000000003, 77.60963], [12.904940000000003, 77.61220999999999], [12.908270000000003, 77.61371999999999], [12.908140000000003, 77.61424999999998], [12.909090000000003, 77.61508999999998], [12.915360000000003, 77.61650999999998], [12.914000000000003, 77.61778999999997], [12.916020000000003, 77.61865999999998], [12.916100000000004, 77.61981999999998], [12.917790000000004, 77.62476999999997], [12.916900000000004, 77.62938999999997], [12.916130000000004, 77.63862999999998], [12.917320000000004, 77.64071999999997], [12.922220000000003, 77.64479999999998], [12.923790000000002, 77.64671999999997], [12.924460000000002, 77.64846999999997], [12.924560000000001, 77.65058999999998], [12.923580000000001, 77.65546999999998], [12.921840000000001, 77.66054999999999], [12.920750000000002, 77.66520999999999], [12.917640000000002, 77.67227999999999]]"
16/01/2019 03:23:38,3643.1,00:16:33,"[[12.96835, 77.71581], [12.96741, 77.71632000000001], [12.967569999999998, 77.71408000000001], [12.969319999999998, 77.71277], [12.979599999999998, 77.70901], [12.987919999999997, 77.70728000000001], [12.988699999999998, 77.70222000000001], [12.989529999999998, 77.70000000000002]]"
16/01/2019 03:24:52,4831.2,00:15:22,"[[12.96147, 77.6726], [12.961730000000001, 77.67226000000001], [12.961050000000002, 77.67203], [12.961770000000001, 77.67034000000001], [12.960650000000001, 77.67004000000001], [12.960590000000002, 77.66813000000002], [12.958210000000001, 77.66804000000002], [12.958150000000002, 77.66747000000002], [12.959180000000002, 77.66188000000002], [12.959000000000001, 77.65879000000002], [12.959560000000002, 77.65022000000002], [12.960740000000001, 77.64002000000002], [12.95878, 77.63972000000003], [12.958810000000001, 77.63839000000003], [12.956450000000002, 77.63796000000004], [12.955920000000003, 77.63729000000004]]"
16/01/2019 03:25:10,3495.2,00:15:59,"[[12.98112, 77.70913], [12.981910000000001, 77.70859], [12.98793, 77.70723], [12.98872, 77.70210999999999], [12.989510000000001, 77.69998], [12.98914, 77.69955999999999], [12.98933, 77.69873], [12.98844, 77.6985], [12.98864, 77.69739], [12.98451, 77.69778], [12.98386, 77.69583], [12.98232, 77.69571], [12.98296, 77.69656], [12.98303, 77.69767], [12.9826, 77.69776], [12.982809999999999, 77.69825], [12.982539999999998, 77.69882], [12.982149999999999, 77.69787], [12.98181, 77.69801]]"
16/01/2019 03:26:39,21173.7,00:59:46,"[[12.91254, 77.54539], [12.9117, 77.55055], [12.91274, 77.55072], [12.911729999999999, 77.55226], [12.91134, 77.55418], [12.91171, 77.55624], [12.91152, 77.55762], [12.911629999999999, 77.55841], [12.912799999999999, 77.55881], [12.91259, 77.55954], [12.91374, 77.55996999999999], [12.91289, 77.56558], [12.912970000000001, 77.56596], [12.913780000000001, 77.56618], [12.9068, 77.57198], [12.90643, 77.58031], [12.90417, 77.58037], [12.90374, 77.58182000000001], [12.898520000000001, 77.58193000000001], [12.898080000000002, 77.58269000000001], [12.896080000000001, 77.58186000000002], [12.89234, 77.58197000000003], [12.89187, 77.58560000000003], [12.891190000000002, 77.58731000000003], [12.892210000000002, 77.59022000000003], [12.891440000000003, 77.59238000000003], [12.890330000000002, 77.59950000000003], [12.888970000000002, 77.60312000000003], [12.887290000000002, 77.60325000000003], [12.886670000000002, 77.60648000000003], [12.886850000000003, 77.61503000000003], [12.885210000000002, 77.61589000000004], [12.884750000000002, 77.61822000000004], [12.883970000000001, 77.61813000000004], [12.8838, 77.62175000000003], [12.884670000000002, 77.62189000000004], [12.883610000000001, 77.62218000000004], [12.8825, 77.62352000000004], [12.88134, 77.62337000000004], [12.88092, 77.62462000000004], [12.87841, 77.62479000000003], [12.87787, 77.62563000000003], [12.87827, 77.63084000000003], [12.87861, 77.63251000000004], [12.87927, 77.63294000000003], [12.87964, 77.63539000000003], [12.87875, 77.63781000000003], [12.87626, 77.63962000000004], [12.874410000000001, 77.64028000000003], [12.87372, 77.64329000000004], [12.87472, 77.64907000000004], [12.86803, 77.65502000000004], [12.85616, 77.66437000000003], [12.85446, 77.66297000000003], [12.85375, 77.66076000000002], [12.85309, 77.66051000000003], [12.85083, 77.66036000000003], [12.85039, 77.66246000000002], [12.849630000000001, 77.66310000000003], [12.847140000000001, 77.66221000000003], [12.847050000000001, 77.66160000000004], [12.845490000000002, 77.66173000000003], [12.844980000000001, 77.66021000000003], [12.842150000000002, 77.66048000000004], [12.839020000000001, 77.65938000000004], [12.838270000000001, 77.66164000000005]]"
16/01/2019 03:29:07,2636.9,00:18:24,"[[12.963, 77.70732], [12.963299999999998, 77.70846999999999], [12.963829999999998, 77.70853], [12.964429999999998, 77.71227999999999], [12.965019999999999, 77.71246], [12.965269999999999, 77.71397999999999], [12.978119999999999, 77.71343999999999], [12.977699999999999, 77.71619]]"
16/01/2019 03:30:20,3245.7,00:12:14,"[[12.97115, 77.7455], [12.971309999999999, 77.74526], [12.970189999999999, 77.74511], [12.970329999999999, 77.74315], [12.969269999999998, 77.74247], [12.969039999999998, 77.73943], [12.969359999999998, 77.73628], [12.969959999999999, 77.73463], [12.969619999999999, 77.73218999999999], [12.970369999999999, 77.73150999999999], [12.97092, 77.73021999999999], [12.971499999999999, 77.72692999999998], [12.971119999999999, 77.72635999999999], [12.9719, 77.72184999999999], [12.97202, 77.72142999999998], [12.972610000000001, 77.72129999999999], [12.972700000000001, 77.72076999999999], [12.972310000000002, 77.72088]]"
16/01/2019 03:30:39,3607.5,00:17:52,"[[12.83442, 77.68436], [12.83532, 77.68446], [12.83551, 77.67969000000001], [12.837489999999999, 77.67893000000001], [12.839949999999998, 77.67722], [12.839859999999998, 77.67689], [12.843459999999999, 77.67409], [12.843129999999999, 77.67353000000001], [12.844669999999999, 77.67243000000002], [12.842199999999998, 77.66857000000002], [12.841869999999998, 77.66486000000002], [12.840739999999998, 77.66385000000002], [12.83809, 77.66441000000002], [12.837399999999999, 77.66436000000002], [12.83739, 77.66403000000001]]"
16/01/2019 03:31:56,3823.5,00:19:01,"[[12.89154, 77.62276], [12.892460000000002, 77.62334], [12.892140000000001, 77.62594], [12.89436, 77.62574], [12.90141, 77.62727], [12.90609, 77.62774], [12.9067, 77.62818], [12.90708, 77.62911], [12.9085, 77.62826], [12.90889, 77.62885], [12.910829999999999, 77.62853], [12.911119999999999, 77.6296], [12.911689999999998, 77.62966], [12.912429999999999, 77.63238], [12.913089999999999, 77.6325], [12.912779999999998, 77.63413999999999], [12.913089999999999, 77.63398999999998], [12.913219999999999, 77.63244999999998]]"
16/01/2019 03:36:14,7659.3,00:24:47,"[[12.94356, 77.65001], [12.94381, 77.65002], [12.943719999999999, 77.65153], [12.94426, 77.65178999999999], [12.9443, 77.65280999999999], [12.94585, 77.64904999999999], [12.9475, 77.64953999999999], [12.94727, 77.65073999999998], [12.947759999999999, 77.65364999999998], [12.94741, 77.65597999999999], [12.94765, 77.66000999999999], [12.94693, 77.66191999999998], [12.945, 77.66219999999998], [12.94452, 77.66272999999998], [12.94444, 77.66349999999998], [12.94445, 77.66441999999998], [12.94595, 77.66478999999998], [12.9466, 77.67064999999998], [12.94647, 77.67096999999998], [12.94553, 77.67088999999999], [12.94539, 77.67178999999999], [12.94577, 77.67294999999999], [12.946449999999999, 77.67315999999998], [12.944639999999998, 77.67777999999998], [12.944039999999998, 77.68000999999998], [12.944339999999997, 77.68026999999998], [12.943719999999997, 77.68047999999997], [12.943389999999997, 77.68172999999997], [12.940599999999998, 77.68693999999998], [12.938909999999998, 77.68800999999998], [12.940079999999998, 77.69089999999997], [12.939919999999999, 77.69143999999997], [12.940209999999999, 77.69154999999998], [12.939429999999998, 77.69518999999998], [12.938619999999998, 77.69504999999998], [12.93752, 77.69369999999998], [12.936309999999999, 77.69447999999998]]"
16/01/2019 03:38:41,7363.9,00:26:07,"[[12.95947, 77.70598], [12.956949999999999, 77.70627], [12.9568, 77.70489], [12.966059999999999, 77.70352000000001], [12.966589999999998, 77.70306000000001], [12.965889999999998, 77.70239000000001], [12.967379999999999, 77.70219], [12.967939999999999, 77.70157], [12.967319999999999, 77.69645], [12.96792, 77.69336], [12.96879, 77.69342], [12.96916, 77.68899], [12.96875, 77.6889], [12.96893, 77.68717000000001], [12.96724, 77.68674000000001], [12.96848, 77.68648000000002], [12.96935, 77.68246000000002], [12.97171, 77.68165000000002], [12.97347, 77.67441000000002], [12.97541, 77.66876000000002], [12.97554, 77.66701000000002], [12.976040000000001, 77.66697000000002], [12.976170000000002, 77.66604000000002], [12.978060000000001, 77.66640000000002], [12.979420000000001, 77.66611000000002], [12.979230000000001, 77.66566000000002], [12.977580000000001, 77.66559000000002], [12.97788, 77.66562000000002]]"
16/01/2019 03:41:55,5116,00:23:26,"[[12.954, 77.71693], [12.953750000000001, 77.71732], [12.955670000000001, 77.71695], [12.95597, 77.71481], [12.96592, 77.71828], [12.966750000000001, 77.71775], [12.96723, 77.71679999999999], [12.967830000000001, 77.71356999999999], [12.97798, 77.70965], [12.978290000000001, 77.71087], [12.978110000000001, 77.71383], [12.97722, 77.71901], [12.977150000000002, 77.71831999999999], [12.974120000000001, 77.71798999999999], [12.974, 77.71735999999999]]"
